reference,section_id,header,header_index
"#penny.penny_merriments","sample4","""(11)""","9"
"#penny.penny_merriments","sample4","15.","10"
"#boethpr.boeth3_preston","sample1","PROSA IX.","1"
"#boethpr.boeth3_preston","sample2","PROSA X.","1"
"#boethpr.boeth3_preston","sample3","PROSA XI.","1"
"#boethpr.boeth3_preston","sample4","PROSA IV.","1"
"#boethpr.boeth3_preston","sample5","PROSA VI.","1"
"#stat7.statutes_vii","sample1","CHAPTER XII.","1"
"#stat7.statutes_vii","sample1","AN ACT FOR RELIEF OF POOR PRISONERS FOR DEBT OR DAMAGES.","2"
"#stat7.statutes_vii","sample2","CHAPTER XX.","1"
"#stat7.statutes_vii","sample2","AN ACT FOR GRANTING TO HIS MAJESTY AN ADDITIONALL DUTY UPON ALL FRENCH GOODS AND MERCHANDIZE.","2"
"#stat7.statutes_vii","sample3","CHAPTER XVI.","1"
"#stat7.statutes_vii","sample3","AN ACT FOR ENLARGEING COMON HIGH-WAYS.","2"
"#stat7.statutes_vii","sample4","CHAPTER III.","1"
"#stat7.statutes_vii","sample4","AN ACT TO PROHIBIT THE EXPORTATION OF ANY CORN MALT MEALE FLOUR BREAD BISCUIT OR STARCH FOR ONE YEARE FROM THE TENTH DAY OF FEBRUARY ONE THOUSAND SIX HUNDRED NINETY EIGHT.","2"
"#stat7.statutes_vii","sample4","CHAPTER IV.","3"
"#stat7.statutes_vii","sample4","AN ACT TO PROHIBIT THE EXCESSIVE DISTILLING OF SPIRITS AND LOW WINES FROM CORNE AND AGAINST THE EXPORTING OF BEER AND ALE AND TO PREVENT FRAUDS IN DISTILLERS.","4"
"#stat7.statutes_vii","sample5","CHAPTER IV.","1"
"#stat7.statutes_vii","sample5","AN ACT FOR THE FURTHER PREVENTING THE GROWTH OF POPERY.","2"
